iter	Passed	Remaining
0	176	18178
1	212	10838
2	248	8374
3	289	7226
4	327	6487
5	369	6029
6	414	5749
7	457	5492
8	498	5261
9	542	5102
10	586	4954
11	629	4827
12	675	4727
13	727	4674
14	770	4569
15	822	4522
16	868	4445
17	915	4374
18	959	4292
19	1004	4218220	1048	4143221	1089	4059222	1134	3994223	1168	389524	1217	3848
25	1257	3772
26	1296	3697
27	1338	3634
28	1386	3586
229	1431	353030	1478	3481
31	1536	3456
32	1577	3394
33	1615	3326
34	1653	3259
35	1694	3200
36	1733	3138
37	1778	3088
38	1819	3032
39	1856	2971
40	1895	2913
41	1941	2866
42	1982	2812
43	2041	2783
44	2085	2734
45	2130	2686
46	2169	2630
47	2207	2575
48	2246	2521
49	2288	2472
50	2329	2420
51	2372	2372
52	2414	2323
53	2459	2277
54	2498	2226
55	2537	2175
56	2577	2125
57	2616	2075
58	2657	2026
59	2704	1983
60	2751	1939
61	2796	1894
62	2842	1849
63	2884	1803
64	2927	1756
65	2961	1705
66	3000	1656
67	3036	1607
68	3076	1560
69	3117	1514
70	3154	1466
71	3191	1418
72	3229	1371
73	3268	1325
74	3306	1278
75	3344	1232
76	3383	1186
77	3419	1139
78	3459	1094
79	3497	1049
80	3534	1003
81	3571	958
82	3607	912
83	3641	867
84	3682	823
85	3720	778
86	3759	734
87	3801	691
88	3833	646
89	3869	601
90	3911	558
91	3954	515
92	3997	472
93	4040	429
94	4084	386
95	4120	343
96	4158	300
97	4196	256
98	4227	213
99	4259	170
100	4297	1271101	4334	841102	4373	42
103	4417	0
