iter	RMSE
0	1044.320727
1	1031.384804
2	1018.676297
3	1006.19135
4	993.8996567
5	981.822989
6	969.9599166
7	958.2214645
8	946.6689652
9	935.3209981
10	924.0117697
11	912.9518327
12	902.1649594
13	891.4720202
14	880.9196755
15	870.6804833
16	860.5178805
17	850.5445775
18	840.7484257
19	831.1538817
20	821.6564519
21	812.3455078
22	803.1917095
23	794.1824511
24	785.3893702
25	776.6671591
26	768.1087578
27	759.660732
28	751.4021738
29	743.3012922
30	735.340997
31	727.5354231
32	719.9113843
33	712.3978492
34	705.0326781
35	697.8034244
36	690.5978375
37	683.5075047
38	676.6428882
39	669.8256806
40	663.2210901
41	656.5579158
42	650.0939895
43	643.8246587
44	637.5942567
45	631.5081058
46	625.6023227
47	619.6330274
48	613.7471363
49	608.1730286
50	602.5102873
51	597.1658665
52	591.6653216
53	586.3277889
54	581.0862392
55	575.8575747
56	570.7471366
57	565.9213264
58	561.0599562
59	556.2698955
60	551.5069699
61	546.8773159
62	542.3688768
63	538.0146664
64	533.5949088
65	529.2913255
66	525.1073157
67	521.1669737
68	517.0760005
69	513.1124183
70	509.2418381
71	505.390546
72	501.6134289
73	497.9427496
74	494.3754311
75	490.8867468
76	487.3784183
77	483.9100388
78	480.5677594
79	477.3354814
80	474.0994579
81	470.9242709
82	467.8828059
83	464.939898
84	461.8535898
85	458.8213889
86	456.0099361
87	453.1257961
88	450.3827792
89	447.6646649
90	444.9731166
91	442.3087911
92	439.6833198
93	437.2647342
94	434.7422211
95	432.2541151
96	429.8940356
97	427.5766019
98	425.257759
99	423.0266056
100	420.7574702
101	418.6141745
