iter	Passed	Remaining
0	19	7910
1	38	8027
2	66	9078
3	84	8646
4	105	8607
5	126	8623
6	149	8699
7	170	8658
8	192	8669
9	215	8695
10	236	8678
11	258	8654
12	282	8715
13	304	8690
14	324	8632
15	345	8584
16	366	8551
17	387	8518
18	409	8516
19	430	8473
20	451	8441
21	477	8505
22	499	8494
23	522	8492
24	544	8474
25	567	8473
26	588	8432
27	608	8385
28	648	8608
29	673	8620
30	701	8666
31	723	8632
32	745	8606
33	766	8569
34	787	8525
35	808	8490
36	830	8457
37	852	8430
38	876	8430
39	897	8396
40	919	8363
41	942	8343
42	966	8336
43	992	8345
44	1014	8322
45	1035	8287
46	1057	8260
47	1079	8234
48	1102	8211
49	1125	8192
50	1149	8181
51	1171	8156
52	1193	8129
53	1215	8105
54	1239	8088
55	1263	8074
56	1285	8051
57	1308	8030
58	1331	8013
59	1355	7996
60	1379	7982
61	1404	7971
62	1428	7959
63	1454	7952
64	1477	7935
65	1501	7917
66	1524	7897
67	1546	7867
68	1573	7868
69	1597	7850
70	1620	7829
71	1642	7801
72	1666	7784
73	1690	7767
74	1713	7747
75	1736	7722
76	1759	7700
77	1781	7672
78	1804	7651
79	1830	7643
80	1855	7629
81	1879	7609
82	1903	7589
83	1928	7577
84	1952	7559
85	1976	7539
86	2001	7524
87	2032	7527
88	2055	7507
89	2080	7490
90	2104	7471
91	2130	7456
92	2156	7444
93	2182	7431
94	2209	7418
95	2234	7400
96	2257	7378
97	2281	7357
98	2306	7338
99	2361	7416
100	2385	7392
101	2407	7363
